stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0,0,0,0,0,0,0.56,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0.37,0,0.37,0,0,0,0.37,0,0,0
3Month,0.1,0.42,0.42,4.37,0.21,0.52,1.14,0.1,6.66,0.83,0.1,1.98,0.73,0.94,0.73,0.73,0.21,0.42,0.62,0.42,0.1,0.42,0.42,0,0.52,0.1,3.33,0.1,0.73,237.78,1.14
22Month,0,0,0,1.23,0,0,0,0.14,1.23,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0,2.32,0,0.14,0.96,0
