stage,Epithelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Osteoblast
24hpf,0,0,0,0,0,1
21Day,0,0,0,0.37,0.37,0
3Month,0.1,0,0.1,0.1,0.52,0
22Month,0,0.14,0,0,0.27,0
