stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,2,0,1,0,0,0,0,2,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0,2.96,0,0,0,0,0,0,0,0.37,0,2.59,0,0,0.37,0.74,0,0,0.37,0,0,0,0.37,0
3Month,0,0.1,0.1,0.1,0.1,0,0,3.33,0.42,0.31,0.21,0.1,0.1,0.1,0,0.21,0,0,0,0,0,0.1,0,0,0,0.21
22Month,0,0.14,0.14,1.91,0.14,0.14,0.82,7.38,0,0.96,0,1.09,0,1.78,0.55,0,0.14,0,0.14,0,0,0,0.27,0.14,0,0
