stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.79,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0.85,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.37,9.25,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0.74,0.74,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.31,4.06,15.29,0.21,0.1,0.62,0.73,0.1,3.74,1.25,0.21,45.66,0.42,42.86,0.73,1.66,0,0,0.21,0,0.1,3.02,0.1,0,0,1.35,1.77,0,0,0.1,0.83,0.83
22Month,0.27,0.96,6.56,3.96,0.68,0,2.87,0.82,0.96,13.53,0.27,0,173.95,0.27,9.98,0.96,2.6,0.27,0.82,0.27,0,0,1.78,0.41,21.32,0,0.41,0.96,0.41,0.14,0,0,0.82
