stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0.85,1.13,0,0,0,0.28,0,0,0,0
21Day,0,1.48,0.37,0,0,0,0.37,0.37,0,0,0,0,1.48,0,0.74,0.37,0.74,0.37,0,0,0.37,0,0,0
3Month,0,0.52,0,0,0.21,0.62,0.1,0,0.21,0,0.21,0.52,0.52,0.1,0,0,0,0,0.31,0,0,0.1,0.1,0.21
22Month,0.27,0.14,0,0.14,0.27,2.19,0,0,0.14,0,0,0.27,0,0.14,0,0,0,0,0,0,0,0,0,0.14
