stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0.21,1.46,0.1,0.1,0.1,0,2.29,0.21,0.1,0.21,0.1,0.31,0.1,0.42,0.1,0.1,1.77,0.1,0,0.1,0,0.1,0.1,0.1,10.19,0.21,0.1
22Month,0,0.14,0,0,0.41,0.14,5.88,0,0,0.55,0,0.27,0.27,0.27,0,0,0,0,0,0,0.14,0.14,0,0,1.23,0,0
