stage,Epithelial_cell,Erythroid_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Spermatocyte
24hpf,0,0,0,0,2,0,0
72hpf,0,0,0,0.28,0,0.85,0
21Day,0.37,0.37,0,0,0,0,0
3Month,0.21,0,0.1,0,0,0,0.31
