stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell
24hpf,0,1,0,0,0,2,0,0,8,1,0
72hpf,0.28,0,0,0,0,2.54,0,0.56,0.28,0.85,0
21Day,0,2.22,0.37,0,0,4.07,0,0,1.11,0,0
3Month,0.1,0,0,0.31,0.1,0.31,0.1,0,0,0,0.62
