stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.85,0,0,0,0,0,0,0,0,0,0.28,1.69,0,0,0,0,0,1.13,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0.74,0.37,0,0,0,0,0,0.37,0,0,0.37,2.59,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.21,0.31,0.21,1.77,0.62,0,0.21,1.25,0,5.62,0.31,0.21,1.35,0.42,0.73,1.98,0.21,0.62,0,0.1,0.1,0.1,0.1,0.21,0.1,0.1,0.21,0.83,0.1,21.32,0.83
22Month,0.14,0.27,0.27,1.5,0,0,0,0.96,0.41,18.72,0.27,0.27,2.73,0.14,0.27,0.96,2.32,0.14,0.41,0.68,0,0,0,0.14,0.14,0.14,0,0.68,0,0,0
