stage,Cardiomyocyte,Enterocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0,0,0,0.73,0.1,0.42,0,0,0.1,0.1,0,0,0.42,0.1,0.1
22Month,0,0.14,0.14,0.14,2.46,0.14,0.55,0.27,0,0,0,0,0,0.27,0,0
