stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0.85,0,0,0,0,0,0,0.28,0,1.13,0.28,0,0.56,2.82,0.56,0,0.85,0,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0.37,1.11,0,0,0,0,5.55,0,0.37,0,5.55,1.11,0,0.37,3.33,0.74,0,0.74,0,0,0.74,0,0,0,1.11
3Month,0,0.21,1.46,0,0.1,0,5.3,0,0,1.35,10.3,0.94,0.1,0.1,0.1,11.44,0.94,0,0.42,0.21,0,0,0,0.21,0.1,2.39,0,0.21,4.99,2.08
22Month,0,0.27,0.41,0,0,0.27,7.52,27.88,0,2.19,3.96,2.46,0.27,0,0,11.07,1.64,0.14,0.14,0,0,0.27,0.14,0.14,0,2.32,0.14,0.14,0,3.01
