stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0.74,0,0.37,0.37,0,0,1.48,0,0,0,0,0,0,0,0
3Month,0.1,0.83,0.31,8.01,0.83,9.78,0.1,0.62,0.1,4.68,0.21,0,0,0.21,0.31,0.1,0.1,0.1
22Month,0,0,0,17.49,1.5,3.01,0.27,0.55,0,4.78,0.27,0,0,0.14,0,0,0,0
