stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0.56,0,0,0,70.46,0.56,0,0,0,0,0,0,0,1.13,0.28,0.85,0,0,0,5.07,3.38,0,0,0,1.13,0,0.28,0.85,0.28,0,0.28,0,0
21Day,0,0,0.74,1.48,29.23,0.74,0,0,0,0,0,0.37,0,1.48,0,1.11,0,0.37,0,2.59,0.37,0,0,0,0.74,0.74,0.37,0,0.74,0.37,0,0,0.37
3Month,0,0.31,0.1,0.94,3.02,0,0.1,0.31,4.58,0.1,0.1,0.42,0.21,0.31,0.21,1.04,0,0.21,0.1,0,0.1,0.1,0.1,0,0,0.21,2.6,0,0,0,0.31,0.1,0
22Month,0,0,0,0.27,0.14,0,0,0.14,3.69,0.14,0,0,0,0,0.14,0.96,0.14,0,0,0,0,0,0,0.14,0,0,0.96,0,0,0,0.14,0,0
