stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,125,1,0,0,1,0,0,0,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,74.41,0.56,0,0.28,0,0,0,0.28,0,0.28,0,1.13,0,3.95,1.69,0,0.56,0,0,0.28,0,0.28,0,0
21Day,67.71,0,1.48,0.74,0,0.37,0.37,0,0,0.37,0,1.48,0.37,1.48,0.37,0,0.37,0.74,0,0.37,1.11,0,0,0.37
3Month,2.29,0,0.1,0,0,0,0.52,0,0,0,0,0.1,0.21,0,0.1,0,0,0,0.21,0,0,0,1.35,0
22Month,0.14,0,0.14,0,0,0,0.82,0,0.14,0,0.14,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0
