stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.48,1.48,0,0.37,0,0.37,0,4.44,0,0.37,19.24,0,1.11,0,2.96,0,0,0.37,0,2.96,0,0,0,0.37,1.48,0,0,0.37,0,0,0,0
3Month,0,0.94,3.02,11.55,0,1.66,0.21,3.64,2.6,0.1,528.41,4.99,0.1,119.41,1.98,3.85,3.54,5.2,0.94,0.94,1.98,1.56,0.42,0.94,0.83,0,0.1,11.96,2.18,0.31,0,0.1,1.56,1.46,3.33
22Month,0.14,2.73,2.87,4.65,0,1.5,0.14,2.19,3.01,1.37,772.48,0.82,0.68,68.73,0.68,0.68,2.73,3.28,0,9.98,1.78,0,0,0.68,0.82,2.19,0.14,1.09,0.27,0.27,0.41,0,0.14,0,1.91
