stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4,1,2,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,1.13,1.13,0,0.56,0,0,0,0,0.28,0,0
21Day,9.62,0,0.37,0.37,0.74,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0.37,0.74,0,0.74,0.37,0.74,0,0.37,0,0,0
3Month,0.31,0.1,0.83,0,0,0.21,0,0,1.04,0.21,0.52,0,0.1,0.42,0.42,0.1,0,0.42,1.35,0.21,0,0.1,0.1,0.21,4.26,0.1,0,0.1,1.25,0.1
22Month,0,0.14,0.14,0,0,0.55,0.14,0,4.24,0,0.14,0.14,0,0.14,0.41,0,0.14,0.14,0.14,0,0,0,0,0.14,3.55,0,0,0,0,0.14
