stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.2,0.28,0.28,3.38,0.56,1.97,0,0,0,0.28,0,0,0,0,0,1.97,7.61,0.28,5.92,1.41,0.28,405.86,30.72,1.13,1.97,0,8.17,0.28,0,3.66,0.28,0,0.28,0,0,0
21Day,9.99,0,0,7.03,0.37,6.66,0,1.48,0,0,0,0.74,0.37,5.92,0.37,0.74,4.07,0.74,14.06,0,1.11,95.83,13.32,1.11,1.85,0,4.44,4.44,0,2.96,0.37,0.74,0,0,0,2.59
3Month,0,0,0,1.35,0.1,0,0.1,0.1,0.21,0.21,0,2.7,0.21,0.21,0.52,0.1,0.31,0.21,0.94,0,0.31,0.62,0,0.94,0.31,0,0,0.1,3.33,0.1,0,0,0,0.31,0.42,0.31
22Month,0,0,0.14,0.68,0,0,0,0,0.14,0.82,0.27,8.75,0.41,0.41,0.41,0,0.55,0.55,1.09,0.14,0,1.37,0,1.37,0.82,0.14,0,0,1.09,0.27,0.27,0,0,0,0,0.27
