stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0.28,1.13,0,0,0,0,0,0.28,0,0,0
21Day,0,0,2.96,3.7,0,0.37,0,0.37,0,0,0,21.46,1.11,0,0.37,0.74,1.85,0,0.37,0.37,0,1.85,0,0,0.37,0.37,1.11,0,1.48,0,0,28.12
3Month,0.42,0.1,2.91,0,0.62,0,0.31,1.46,0,2.39,1.25,4.16,0.73,0.21,1.25,3.95,1.46,0.21,0,0.31,0.31,0.42,0,0.52,0.31,0,0.83,1.66,0.1,0.62,1.04,75.2
22Month,0.55,0.27,0.68,0,0.27,0,0.27,1.09,0.27,7.93,0.27,2.46,0.55,0.14,0.55,10.66,1.5,0,0.55,0.27,0,0.27,0,0.14,0.14,0,0.68,0.14,0.55,0,0,34.3
