stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0,0,6.48,1.13,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0,0,4.81,0.37,0,0,0,0.37,0,0,0
3Month,0,0.1,1.14,0,0,0,0.1,0.52,0,0.52,0.1,0.21,0.1,0.21,0.21,0,0,0.1,0,0,0.1,0,0,0.1,0.83,0.21,0.1
22Month,0,0,0.27,0,0,0.14,0.27,0,0,2.46,0,0.14,0,0,0,0.14,0.41,0,0.14,0,0,0.14,0.14,0,0.14,0,0
