stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0
21Day,0.37,0,0,0,0,1.48,0,0.37,0.37,0,0,0,0,0.37
3Month,0.42,0.1,0.1,0.1,0,0,0.1,7.07,0.1,0.1,0,0.1,0.1,1.04
22Month,0,0,0,0.55,0.41,0.14,0,3.01,0,0,0.14,0,0,0.27
