stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,2,2,11,0,0,0,0,0,1,0,0,0,5,7,12,0,0,4,66,2,0,0,0
72hpf,0.28,0.28,0.28,0.56,2.54,0,0,0,0,0,0,0,0.56,0,0.85,0,0,4.79,7.61,1.69,0.28,0.28,0.85
21Day,0.37,0,1.11,0,3.7,0.74,0,0.37,0,0,0,0.74,0,0,0.74,0.37,0,1.48,2.96,0.37,0.37,0,0
3Month,0,0,0,0,0,0,0,0,0,0.31,0.1,0,0,0,0,0,0.1,0,0,0,0,0.21,0
22Month,0,0,0,0,0,0,0.14,0.14,0,0.27,0.14,0,0,0.27,0,0,0,0,0,0,0,0,0
