stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0
3Month,0.83,0.52,0,0.62,0.1,1.14,0.1,2.81,0.1,0.1,0.1,0,0,0.1,0.52,12.48,0.1
22Month,1.23,0,0.14,0.55,0,0,0,1.23,0,0,0,0,0,0,0,0,0
