stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,13,0,0,0,0,0,0,0,0,0,0
72hpf,2.82,0,1.13,1.13,0,0,0,0,0,0,0,0,0,5.64,0,5.07,0,0.56,3.95,1.69,0,0,3.38,0,0,0,0.28,0,0,0
21Day,0.37,0.37,4.44,0,0.37,0,0,0,0,0,0,1.11,0,0.37,0.37,2.96,0,4.81,3.7,2.22,0,0.37,1.11,1.48,0,0,0,0,0,0
3Month,0,0,4.16,0.21,0,0,0.21,0,0,1.77,0.21,0.1,0.21,0.31,1.25,0.42,0.1,8.63,0,0.1,0.73,0.1,0.1,0.21,1.66,0.31,0,0.1,0.21,0.52
22Month,0,0,1.5,0.14,0,0.27,0,0.41,0.14,2.6,0,0,0.14,0,0.14,0.14,0.14,1.91,0.14,0,0.27,0.27,0,0,0.27,0.14,0,0,0,0
