stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0.56,0,0.28,0,0.56,0.28,0,0.28,0
21Day,0,0.37,1.48,0,0.37,0,0,0,0,0.74,0.37,0.37,2.22,0,0,0,0.37,0,0,0,0
3Month,0.1,0.21,1.35,0,0,0.31,0.1,0.73,0.1,0,1.25,0.1,0.73,0.31,0.1,0,0.21,0,0.1,0,0.42
22Month,0.14,0.82,1.09,0.14,0,0.55,0.41,7.79,0,0,4.37,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0
