stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,0,0.56,0,0,0,0.28,0,0,0
21Day,0.37,0,0.37,0.37,0,1.85,0,0,0,0,0,0,0,0.37,1.85,1.11,0,0,0,0,1.11,1.11,0,0,1.11,0,0.74,0.37,0,0,0,0
3Month,0,0,1.46,0,0.21,0,0.1,0.31,9.36,0.1,0.1,0.42,0.42,0.31,0.52,1.66,0.21,0,0.1,0.42,0.21,0.1,0.52,0,0.31,0.52,21.32,0,0,0.62,7.8,0.31
22Month,0,0.68,0.55,0,0.27,0,0.14,0.14,9.29,0,0.14,3.96,0.14,0,0.41,1.5,0.14,0.96,0.14,0,0,0,0.41,0.14,0,0,5.74,0,0.14,0,0,0
