stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0
3Month,0,0.31,0.1,0.1,0.1,0.1,0,0,0.62,0.21,0.1,0.1,0.1,0.52,0.1,0,0,0,0.21,0.21,0,0,0.21,0
22Month,0.27,0.68,0.14,0,0.55,1.5,0.27,0,3.42,0.41,0.55,0,0.27,5.6,0.14,0.27,0.14,0.14,0,0,0.14,0.27,0,0.41
