stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,1.85,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,3.22,0,0.21,0.1,0.1,0.62,0.94,0.52,0.1,1.46,0.31,1.14,0.52,0.1,0.1,0,0.1,0.31,0,0,0.31,0,0,0.21,0.31
22Month,0.27,0.68,0.14,0,0,0.14,0,2.19,0,0,1.78,0,0.55,0.55,0,0,0,0,0,0,0,0.68,0.14,0.14,0,0.14
