stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,3.95,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,4.07,0,0,0,0
3Month,0,0.1,1.56,0.21,0.21,1.77,0.1,0.31,0.21,0.1,0.21,0,0,0.1,0.1,0,0,9.15,1.56,0.1,0.31,0
22Month,0.41,0,1.09,0,0.55,4.92,0,0.68,0.14,0.41,0.55,0.14,0.27,0,0,0,0,7.24,0.27,0,0,0.14
