stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,0.28,0.56,0,0,0,0,0,0,1.97,0,1.13,0,0,82.58,5.07,0.28,1.69,1.97,0,0,12.97,5.36,4.79,0.56,0,0
21Day,0.74,0,3.33,2.22,0.74,0,0.37,0.37,1.11,0.37,2.22,1.11,2.59,0.74,0.37,49.58,4.44,1.85,1.48,1.48,0.74,0,0.74,24.42,126.54,0.37,0,0.37
3Month,0,0,0.42,0,0,0.1,0,0,0.42,0,0.21,0.1,0,0,0,0.21,0.1,1.04,0,0,0,0.83,0,0.21,0.1,0,0.1,0.1
22Month,0,0,0.14,0,0.41,1.09,0,0,0.41,0,0,0,0.14,0,0,0.14,0,0.41,0.41,0.14,0,3.42,0,2.6,0.14,0,0,0.14
