stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,5,10,0,1,0,0,0,0,0,1,3,5,21,0,0,0,10,178,3,0,0,0,1,0,0,0
72hpf,1.97,0.28,1.97,0.28,0.28,0,0,0,0.28,0,0.85,4.79,0,6.2,0.28,0,0,25.93,20.86,3.1,0,2.25,0,0.28,0,0,0
21Day,2.96,0.37,3.33,0,0.37,0.37,0.37,0,1.11,0.37,0.37,0.37,0,8.14,0,0.37,0,5.92,5.18,1.11,0,1.48,0.37,0,0,0,0.74
3Month,0,0,1.04,0,0,0,0.1,1.56,0.21,0.1,0.1,0.21,0.1,0.52,0,0,0.1,0,0,0.1,2.29,0,0,0,0.1,0.31,0.31
22Month,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
