stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,1,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,1.69,0,2.25,0,0
21Day,0,1.11,0.74,0,0,0,0,0,0,0.74,0.37,1.11,0,0
3Month,0,0.52,0,0,0,0.42,0.1,0.1,0.21,0.21,0.21,0.1,0.1,0.83
22Month,0,0.14,0,0.14,0,0.55,0,0,0,0,0.14,0,0,0
