stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,2.54,0,0,0,0,10.71,9.02,0,0.85,0,0,0.28,0,0,0,0
21Day,1.48,0.37,0,1.11,1.48,0,0,0,0,0,0,0,0.37,0,0.37,0,0.37,0,0,0,0,3.7,1.85,0.37,1.85,0,0,0.37,0.37,0,0,0
3Month,0.1,0,0.1,0.73,0,0.21,0,0,0.73,0,0.52,0.52,0.21,0,0,0.21,0.31,0.31,0.1,0.1,0.1,0.62,0.21,0.42,0,0.31,11.23,0,0,0.21,3.85,0.52
22Month,0,0,0,0.41,0,0.27,0.14,0.14,0.68,0.14,1.91,0.27,0,1.09,0,0.14,0.27,0,0,0,0,0.14,0,0.14,0,0,2.05,0,0,0.14,0,0
