stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,16,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0.28,1.41,0,0.28,0,0,0,0,0.85,0,0
21Day,0,1.11,1.85,1.85,0,0.74,0,0,0,0,0,1.85,0,0.74,0,0.37,0,0,0,1.85,0,0,0.37,0.37,0.37,0.37,2.22,0,0,4.81
3Month,0,0,1.04,0,0,0,0,0.42,0,0.21,0.1,0.1,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0.94,0,0,0,0,0.21,2.29
22Month,0,0,0.68,0,0.27,0.82,0.14,0.41,0.14,2.05,1.23,1.78,0.14,0.27,0.14,0.41,0.41,0.14,0.41,0.14,0,0.14,0,0.14,0,0,0,0,0,6.42
