stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,0.28,2.54,0
21Day,0,2.22,0,0,0,7.03,0,0,0,0.37,0
3Month,0.1,2.7,0,0.1,1.46,0.31,0.21,0,0,0,0.1
22Month,0,0.14,0.14,0,0.68,0,0.41,0,0,0,0
