stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0.28,0.28,0,0.28,0,0.56,1.13,1.97,0.28,0,8.17,8.17,0,1.41,0.56,0,0.56,0.56,0.28
21Day,1.11,0,1.85,0,0.37,0,0,0.74,0,0,4.07,0,0,2.96,0.37,0,0.74,0,0.37,0.37,0,0.37
3Month,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.27,0,0,0.41,0,0.14,0.14,0,0.82,0,0.14,0,0,0.14,0,0,0,0.14,0,0
