stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.28,0.28,0.56,0,0,0.85,1.41,0,0.85,0,0,0,0
21Day,0,0.37,1.48,0,0,0,0,0,0,0,0.74,0,0,0,1.11,0,0,0,0.37,0,0
3Month,0,0,0,0,0,0.31,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.21
22Month,0,0.41,0,0.96,0,1.5,0.27,0,0,0.14,0,0.14,0,0,0,0.14,0,0.14,0,0,0
