stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,14,0,0,0,0,0,0,0,0,0,0
72hpf,8.17,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0.28,0,3.66,7.61,0,0,0.28,0,0,0.56,0.28,0,0,0
21Day,10.73,0,0,1.48,0,0,0,0.37,0,0,0,0,0.74,0,1.48,0,0,1.85,2.22,0.37,0,0.37,0.74,0.37,0.37,0.37,0.37,0,0
3Month,0.52,0.42,0.1,0.1,0,0.1,0.1,0.52,0.62,0.21,0.1,0.1,0.21,0,0.42,0,0.21,0,0,0,0,0,0.21,21.43,0,0,0,1.98,0.21
22Month,0,0,0,0.27,0,0,0.14,1.23,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0,0.14,0,0,3.69,0,0,0,0,0
