stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,3,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0
3Month,0.31,0.1,0.1,0.1,0.1,0.21,0.21,0,0,0.1,1.46,4.26,0.1
