stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0.28,2.54,0,0,0,0,3.66,0,0,0,0,0,0,0,0
21Day,1.48,0.37,0,3.33,0.37,1.11,0,0.37,0,0,0.37,0,0,0.74,0.74,0,1.48,0.37,2.59,0,0.74,25.9,0.37,0,0.37,0,1.11,1.11,0,0.37,2.59,5.55,0.37,0,0
3Month,0,0,0,0.62,0,0,0,0,0.52,0.21,0.42,3.95,0.21,0,1.56,0.1,0,0,0.62,0,0,1.14,0,0.1,0,0,0,0.21,0.21,0,0,0,0,3.22,0
22Month,0,0,0.14,0.55,0,0,0.14,0,0,0,0.41,8.75,0.27,0,4.78,0,0,0.27,1.5,0.82,0.14,3.01,0,0.14,0.14,0.14,0,0.14,0.68,0.55,0,0,0,0,0.41
