stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0.28,0,0,0,0,0,0,2.25,0,0,0,0.85,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,1.85,16.65,0,0.74,0,2.22,0.37,8.51,1.11,0.74,0.37,0.74,0,0.37,0,1.85,0.74,1.11,0,0.37,0.37,0,0.37,0
3Month,0,0.1,1.56,0.1,1.98,0,19.76,0,4.06,0.1,1.04,0,0.1,0.21,0.42,0.1,0,0,0.1,0,0,0.52,0.21,0,0.1
22Month,0.14,0.96,2.19,0.14,3.14,0.14,34.44,0,7.52,0,0,0,0.55,1.09,0.82,0,0,0,0.27,0.14,0,0,0,0,0
