stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,1,0,0,5,1,0
72hpf,0,0.28,0,0,0,0.28,0,0.28,0.28,1.97,2.25,0,0
21Day,0,0.37,0,0,0.37,0,0,0,0,0.74,0.74,0,0
3Month,0.1,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0.21
22Month,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0
