stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.56,0.56,1.13,0,0,0,0,3.38,0.56,1.13,0.28,0,70.18,93.01,0,1.41,0,0,1.97,0.56,0,0,0
21Day,0.37,0,0,1.11,0.74,0.37,0,0,0.37,0.74,2.59,0,0.37,0,0.37,18.87,15.17,0,0,0.74,0,0.37,1.85,0.74,0,0.37
3Month,0,0.1,0.1,0.31,0,0,0.31,0.42,0,0.1,0.21,0.21,0,0,0,0.62,0.21,0,0,0,0.1,0,0,0,0.21,0
22Month,0,0,0,0,0,0,0.55,0,0,0,0.27,0.14,0,0,0,0,0,0.14,0,0,0,0.41,0.82,0,0,0.14
