stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,T_cell
24hpf,67,0,0,0,0,0,0,2,4,0,11,0,0
72hpf,7.61,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0
21Day,17.02,0.37,0.37,0.37,0,0.37,0.74,0,0,0.74,0,0,0
3Month,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.62
22Month,0,0,0,0,0.14,0,0,0.14,0,0,0,0,2.32
