stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,1.97,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0.37,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,3.7,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.21,1.77,0,0.1,0,0.31,0,1.46,0.42,0.1,0.31,0.21,0.21,0.21,0.52,0.1,0,0,0.1,0,0,0,0.1,0,0.21,0.1,0,0,0.31,0.21,0.73
22Month,0,0.55,0,2.19,0,0,0.55,1.09,0.14,6.42,0.82,0.14,0.96,0,0.27,0,0.96,0,0.41,0.14,0.14,0.14,0,0.14,0.27,0.14,0,0.14,0.14,0.14,0,0,0.27
