stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3Month,0,0.1,23.72,0.1,0.1,0.62,0.83,0.83,0.94,1.25,0.1,0.52,0.21,0,0.1,0.52,0.1,1.04,0.62
22Month,0.14,0.14,1.09,0.14,0,0,0.41,0,0,0,0,0,0,0,0.14,0.27,0,0,0
