stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,11,0,2,1,0,0,3,2,45,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,1.69,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,1.97,1.41,0,0.56,0,0,0,2.54,0,0,0,0
21Day,0,0,0,0.37,0.74,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0.37,1.11,0,0,0,0
3Month,0.21,0.31,0.21,6.97,0.1,0.1,0.1,0.62,0.73,0,5.72,1.04,2.5,1.56,1.14,0.83,1.14,0.1,0.62,0.52,0.52,0.21,0.1,0.21,0.1,0.42,3.54,0,0.1,1.04,197.42,1.56
22Month,0,0,0,0.14,0,0,0,0,0,0.41,0.41,0,0.14,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0.68,0.14,0,0,0.41,0
