stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.48,0,0,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0.1,1.25,0.42,1.14,0.21,0.1,0.42,0.1,0.1,0.1,0.31,0.1,0,0.1,0.31,2.6,0.1,0.1,13.21,0.1
