stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,10,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0.28,0.85,0,0,4.51,2.82,0,0,0,0,0.28,0.56,0,0,0
21Day,1.85,0,0,1.11,0,1.11,0,0,0.37,0,0,0.74,0,0,0.37,0,2.22,0,0,1.85,1.11,0,0.37,0.37,0,0,0,0,0,0
3Month,0,0.21,0,2.91,0,0,0.1,0.52,0.52,2.39,0.42,0.31,1.04,0.1,1.77,0.52,0.83,0.1,0.21,0.1,0.1,0.21,0,0,3.02,0,0.1,0.21,12.38,0.42
22Month,0,0.27,0.14,0.41,0,0,0,0,0.14,3.01,0,0,0,0,0.14,0,0.82,0,0,0,0,0.14,0,0,0.27,0,0,0.14,0,0.14
