stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,20.01,1.41,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0.74,0.37,0,0.74,0,0.37,0,0.37,17.76,0,0.37,0.37,0.37,0
3Month,0,0,0.42,0,0,0,0,1.14,0.1,0,0.42,0,0.1,0.1,0.21,0,0,0,0,0.1,0,0,0.21
22Month,0,0.14,0.14,0,0.14,0.14,0.14,1.91,0.14,0,0.55,0,0,0,0.55,0.14,0,0.14,0,0,0,0,0.27
