stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,8,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,1.41,0,0,0,4.23,1.13,0,0,0,0,0,0
21Day,0,0,2.22,0,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0,0,0.74,0,0,0,1.11,0,0,0,0.37,0,0,0.37
3Month,0,0.1,0.83,0,0,0,0.31,0.21,0.1,0.21,0.31,0.31,0.42,0,0.1,0.1,0.21,0,0,0.1,0.1,0.1,0.31,0.21,0.1
22Month,0,0.27,0.41,0.14,0,0.55,0.68,0.14,0,0,0,0,0.41,0.14,0,0.14,0,0,0,0,0,0,0.14,0,0.14
