stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,1,6,1,0,0,3,6,1,22,0,2,0,0
72hpf,0.28,0.28,0,0,0.28,10.71,0.56,1.41,0.28,0,0.28,0.56,0.56
21Day,0,0,0,0,0,0,0,0,0.74,0,0,0.37,0
22Month,0,0,0,0.14,0,0,0,0,0,1.37,0,0,0
