stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,5.36,0,0,3.1,1.97,0,0.28,0,0,1.13,1.41,0.28,0.28,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,1.85,0,0.74,1.11,4.07,0.74,0,0.37,0,0.37,0.37,1.48,0,0
3Month,0,0,0.31,0,0.1,0,0.62,0.1,0,0.31,0,0.1,0,0,0,0,0,0,0,0,0.1,0.21,0,0,0,0,0
22Month,0.14,0.27,1.09,0,1.09,0.27,5.6,0,0.14,0.68,0,0,0.41,0.14,0.14,0,0,0,0,0,0.14,0.14,0,0.14,0,0,0.14
