stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,65,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.69,0,0.28,0,0,0,0,0,0,0,0,0.56,1.69,0,4.51,0,0,0,0,18.88,11.56,0,0,2.25,0,0,2.25,0,0.28,0.85,0,0,0
21Day,4.81,0.74,0,5.18,0.74,1.48,0,0,0,0,0,0.37,1.11,0,2.59,1.85,0,7.77,0,0,1.11,0,8.88,6.66,0,0,2.22,1.48,0,1.85,0.74,0.37,0,0,0,0.74
3Month,0.1,0.21,0,3.33,0.1,0,0,0.73,0.31,0,6.03,0.62,0.1,0.1,0.52,0.73,0.42,0.83,0.21,0,0.21,0.21,0.1,0,0.94,0.31,0,0.21,1.25,0,0,0,0,0.52,0.73,0.42
22Month,0,0.41,0.14,1.91,0,0,0.27,0.41,0.82,0.82,9.29,0.41,0.41,1.37,0.27,0.27,0.55,0.68,0,0.68,0.14,0,0,0.27,1.23,0.27,0,0.14,0.41,0.55,0,0,0,0.14,0,0
