stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.56,0,0,0,0,0,0.28,0,0,0
21Day,2.22,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,1.11,0.37,0,0,0,0,0,0,0,0,0
3Month,0.52,0.1,4.68,6.03,0,0.62,0,0.1,1.77,6.45,0,61.68,6.97,0.21,85.4,0.83,1.04,13.31,1.56,0.21,0,0.1,0.21,0.42,0.1,0.83,0.1,0,1.46,2.18,0.1,0.83,1.46,4.99
22Month,0.14,0.82,1.5,1.91,0,0.14,0.14,0,0.55,4.37,0.68,83.36,1.23,0.41,24.19,0.14,0,3.28,1.23,0,1.37,0.27,0,0,0,0.14,0,0.27,0.27,0.27,0,0,0,1.37
