stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0.37,0,0,0
3Month,0,0.31,2.39,0.1,5.1,0.31,0.1,4.16,0.21,0,0.1,0,0.1,0.1,0.1,0.21,0.1,0.1,0.21,0.31
22Month,0,0,0.41,0.27,5.19,0.14,0,6.7,0.14,0,0.82,0.14,0,0,0,0,0,0.14,0,0.14
