stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0
72hpf,0.28,0.85,0.85,0,0,0,0,0,0,0,0,0,0.28,0.28,0.28,0,0,0,0,5.36,1.13,0.28,0,0.56,0,0,0,0.28,0.28,61.16,0,0,0
21Day,0,0,1.11,0.74,0.37,0,0,0,0,2.22,0.37,0,0,0.37,0,1.48,0,0,0,1.48,1.11,0,0,0.74,1.11,0,0,0,0,22.94,0,0,0.37
3Month,0,0.31,2.5,0,0.1,0.1,0.1,0.94,2.91,43.48,0.52,1.25,0.21,0.73,0.52,1.04,0,0.21,0.21,0.21,0.1,0.31,0.1,0,0.1,0.1,0.94,0.21,0,3.64,0.42,0.83,0.73
22Month,0,0.55,0.27,0,1.37,0,0,0.96,6.56,20.5,0.68,0.27,0,0.27,1.09,0.96,0.14,0,0,0,0,0.41,0.27,0,0,0,0.68,0.14,0,0.41,0.27,0,0.68
