stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,5.92,0,0.28,0,1.97,0,0,0,0.28,0,0.28,4.23,62.57,0.28,0,0.28,0,0,5.92,0.85,0,0.28,0.56,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,3.33,0.37,12.95,0,1.85,0,1.48,0,0.37,8.51,2.22,0.37,0,1.11,20.35,1.48,0,0,0,0,2.59,0,0,0,0.37,0.74,0,0,0,0.37,0.37,0,0,5.55
3Month,0.42,0.52,0.31,7.28,0,0,0.94,0.62,2.18,52.11,0,10.19,331.81,2.5,2.7,1.04,3.54,67.4,3.12,0.94,0,1.04,1.04,0.21,0.21,0.94,0.21,0.21,1.25,1.66,0.83,0.21,0.1,0,1.66,2.6,11.86
22Month,0,1.23,0,2.46,0,0,0.68,0.41,0.68,69.83,0.68,9.29,58.35,2.87,1.37,0,1.23,74.2,3.14,0.96,0.14,0.14,0,0.55,0,0.14,0.14,0,0,0,0.96,0.14,0.14,0,0.27,0,10.52
