stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.56,0.28,0,0,0.28,0,0.28,0.28,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.1,0.52,0.1,0.42,0,1.56,0.21,0.31,0.21,0.21,0.73,0.83,0,0.21,0.1,0,0.1,0.31,0,0,0.21,9.36,0,0,0.1,54.4,0.52
22Month,0,0,0.14,0,0.14,0,3.55,0.14,0.27,0,0,0.14,0.14,0.14,0,0,0,0,0.14,2.6,0.14,0,3.14,0,0,0,0,0
