stage,Endothelial_cell,Epithelial_cell,Granulocyte,Keratinocyte,Macrophage,Mt_rich_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0.28,0
3Month,0,0.1,0.21,0.21,0,0,0,0,0.1
22Month,0.55,0,0,0,0,0.14,0,0,0
