stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.83,0.21,1.35,0.1,0.31,1.04,0.1,3.02,0.62,0.1,0.62,0.21,0.31,0.62,0.62,0.1,0,0.31,0.1,0,0.31,0.21,0.42,2.18,0.1,0.1,0.21,20.08,0.31
22Month,0.14,0,0.27,0,0,0.14,0,5.33,0.27,0,0.82,0,0,0.14,0.55,0,0.14,0.27,0,0,0,0,0,0.68,0,0,0,0,0.27
