stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0.85,1.97,0.85,1.41,0,0.56,0,0,5.36,6.76,0,0,0,0.85,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0,4.07,0.74,0,0,0,0,0,0.37,0,0.74,0.37,1.11,0.37,1.11,2.59,0,0,0.37,0,3.7,1.11,0,0,0,1.48,0.37,0,0,0,0.37,1.48,0,0,0.37
3Month,0,1.35,0.31,7.8,0,0.31,0.1,1.66,1.66,0,4.37,0.94,0.1,3.43,0.94,3.54,1.46,2.39,0.21,0,0.31,0.21,0.31,0.1,0.52,0.62,0,0.31,0.1,9.15,0.31,0,0,0,1.04,0.1,1.35
22Month,0,0.82,0.27,1.64,0,0.14,0.14,0,1.23,0.41,13.39,0.41,0.41,1.91,0.27,0.41,2.6,1.64,0,0.14,0.41,0,0.41,0,0.27,0.41,0.14,0,0,0.96,0,0.14,0,0.14,0.14,0,0.55
