stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0,0,0,0,0,0.28,0.28,0.28,0,0.56,0,0,0,56.09,1.41,0.28,1.13,0,0.56,0,0,0,0
21Day,0,0,0.37,1.11,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,26.27,0.37,0.37,0,0,0,0.37,0,0,0.74
3Month,0,0.21,1.46,0,0.1,0.42,0,1.25,0.31,0.31,0.1,0,0.21,0.73,0.1,0,0,0.21,0.1,0.52,0,8.01,0,0,0.1,2.91,0.21
22Month,0,0,1.09,0,0.14,0.82,0.27,4.37,0.14,0.41,0,0.14,0.14,0.27,0,0.27,0.14,0,0.14,0.55,0,2.46,0,0,0,0.14,0.14
