stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,1.13,0,0.28,0,0,0.28,0,0,0
21Day,0,1.48,0,0,0,0,0,0.37,0,0.37,1.85,0.74,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.74
3Month,0.1,2.5,1.25,0.42,0,1.14,0.31,0,1.35,0.21,0.73,0.73,0.21,0.1,0,0.31,0.1,0.1,0.1,0,0.1,0.1,0,0.42,0.1,0.94
22Month,0.14,0,0,0.55,0.14,1.23,0.14,0,0.82,0,0.14,1.09,0.14,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0
