stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0.28,0,0,0.56,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0,0.1,0.21,0.21,0.1,0.1,0,1.04,0.21,0.1,0.1,0,0,1.04,0.62
22Month,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0.14,0.27,0
